,Year,Engine,Power,Seats,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual
29,2007,2494.0,102.0,7.0,4.0,1,0,0,0,1
30,2013,1461.0,108.45,5.0,7.75,1,0,0,0,1
31,2012,1798.0,138.1,5.0,6.75,0,0,0,1,1
32,2013,2696.0,184.0,7.0,12.5,1,0,0,0,0
33,2010,2698.0,179.5,5.0,11.5,1,0,0,0,0
34,2014,1598.0,103.5,5.0,6.98,0,0,0,1,1
35,2009,1061.0,64.0,5.0,1.85,0,0,0,1,1
36,2018,1248.0,88.5,5.0,8.63,1,0,0,0,1
37,2017,1198.0,82.0,5.0,4.85,0,0,0,1,1
38,2013,2987.0,254.8,5.0,28.0,1,0,0,0,0
39,2013,1199.0,73.9,5.0,5.0,1,0,0,0,1
40,2008,796.0,46.3,5.0,1.25,0,0,0,1,1
41,2014,624.0,37.5,4.0,1.53,0,0,0,1,1
42,2017,1198.0,77.0,6.0,5.58,1,0,0,0,1
43,2014,1197.0,82.9,5.0,4.74,0,0,0,1,1
44,2014,1999.0,149.92,5.0,8.85,0,0,0,1,0
45,2016,1798.0,138.03,5.0,10.11,0,0,0,1,0
46,2008,1991.0,112.2,5.0,4.25,1,0,0,0,1
47,2012,2694.0,163.7,7.0,10.95,0,0,0,1,1
48,2014,1120.0,71.0,5.0,3.85,1,0,0,0,1
49,2012,2498.0,105.0,6.0,5.5,1,0,0,0,1
50,2015,1968.0,174.33,5.0,21.43,1,0,0,0,0
51,2014,1248.0,74.0,5.0,4.25,1,0,0,0,1
52,2014,1248.0,75.0,5.0,3.3,1,0,0,0,1
53,2013,1248.0,74.0,5.0,3.85,1,0,0,0,1
54,2015,1197.0,82.0,5.0,3.6,0,0,0,1,1
55,2015,1598.0,103.2,5.0,3.99,0,0,0,1,1
56,2017,799.0,53.3,5.0,3.3,0,0,0,1,1
57,2010,1197.0,78.9,5.0,2.07,0,0,0,1,1
58,2010,1995.0,147.6,5.0,7.75,1,0,0,0,0
59,2010,998.0,67.1,5.0,2.25,0,0,0,1,1
60,2017,2393.0,147.8,8.0,16.5,1,0,0,0,1
61,2010,1399.0,68.0,5.0,2.75,1,0,0,0,1
62,2015,1796.0,186.0,5.0,26.7,0,0,0,1,0
63,2011,2148.0,170.0,5.0,10.0,1,0,0,0,1
64,2016,1396.0,69.0,5.0,2.5,1,0,0,0,1
65,2012,1968.0,140.0,5.0,13.5,1,0,0,0,0
66,2007,1497.0,78.0,5.0,1.85,0,0,0,1,0
67,2019,1950.0,194.0,5.0,35.67,1,0,0,0,0
68,2016,1248.0,88.5,7.0,8.15,1,0,0,0,1
69,2018,1396.0,88.7,5.0,10.5,1,0,0,0,1
70,2008,4806.0,500.0,5.0,14.5,0,0,0,1,0
71,2015,2179.0,140.0,7.0,9.65,1,0,0,0,1
72,2012,1197.0,78.9,5.0,3.48,0,0,0,1,0
73,2015,1461.0,108.5,5.0,6.92,1,0,0,0,1
74,2016,1198.0,86.8,5.0,6.46,0,0,0,1,0
75,2014,1968.0,187.74,5.0,29.5,1,0,0,0,0
77,2006,1998.0,132.0,8.0,4.5,0,0,0,1,1
78,2012,2494.0,102.0,7.0,11.75,1,0,0,0,1
80,2012,1248.0,74.0,5.0,3.75,1,0,0,0,1
81,2017,1193.0,88.7,5.0,4.5,0,0,0,1,1
82,2016,1198.0,86.7,5.0,4.82,0,0,0,1,1
83,2012,1399.0,68.0,5.0,2.8,1,0,0,0,1
84,2013,1248.0,73.94,5.0,3.11,1,0,0,0,1
85,2009,1497.0,117.3,5.0,3.25,0,0,0,1,1
86,2011,1995.0,218.0,5.0,13.9,1,0,0,0,0
87,2009,1197.0,78.9,5.0,2.25,0,0,0,1,1
88,2016,1197.0,82.0,5.0,5.75,0,0,0,1,1
90,2016,1198.0,86.7,5.0,5.0,0,0,0,1,1
91,2014,2982.0,168.5,7.0,16.5,1,0,0,0,1
92,2018,1968.0,174.33,5.0,39.58,1,0,0,0,0
93,2013,1498.0,89.84,5.0,5.5,1,0,0,0,1
94,2014,2179.0,140.0,7.0,8.1,1,0,0,0,1
95,2015,1498.0,98.6,5.0,3.5,1,0,0,0,1
96,2013,1199.0,73.9,5.0,2.79,1,0,0,0,1
97,2010,1493.0,110.0,5.0,3.45,1,0,0,0,1
98,2016,998.0,67.1,5.0,4.45,0,0,0,1,1
99,2010,1598.0,103.5,5.0,2.65,0,0,0,1,1
100,2011,1396.0,90.0,5.0,3.8,1,0,0,0,1
101,2014,1197.0,82.85,5.0,4.65,0,0,0,1,1
102,2017,1198.0,67.0,7.0,3.95,0,0,0,1,1
103,2010,2967.0,241.4,5.0,9.8,1,0,0,0,0
104,2009,1197.0,80.0,5.0,2.7,0,0,0,1,1
105,2010,796.0,35.0,5.0,2.41,0,0,0,1,1
106,2014,1197.0,78.9,5.0,3.9,0,0,0,1,1
107,2011,2993.0,270.9,5.0,24.0,1,0,0,0,0
108,2012,2179.0,140.0,7.0,5.75,1,0,0,0,1
109,2014,1582.0,126.32,5.0,5.25,1,0,0,0,0
110,2017,2755.0,171.5,7.0,19.25,1,0,0,0,0
111,2017,1196.0,73.0,5.0,3.91,0,0,0,1,1
112,2014,624.0,37.5,4.0,2.15,0,0,0,1,1
113,2015,1995.0,190.0,5.0,20.75,1,0,0,0,0
114,2010,1799.0,130.0,5.0,3.35,0,0,0,1,1
115,2014,2494.0,100.6,7.0,11.11,1,0,0,0,1
116,2014,1984.0,150.0,5.0,20.0,1,0,0,0,0
117,2016,1198.0,75.94,5.0,6.55,0,0,0,1,0
118,2009,2497.0,215.0,5.0,7.0,0,0,0,1,0
119,2016,1248.0,88.5,5.0,7.5,1,0,0,0,1
121,2014,2143.0,107.3,5.0,16.75,1,0,0,0,0
122,2018,1582.0,126.2,5.0,10.95,1,0,0,0,1
123,2011,998.0,67.1,5.0,2.45,0,0,0,1,1
124,2017,624.0,37.48,4.0,3.23,0,0,0,1,0
125,2014,2179.0,120.0,8.0,7.75,1,0,0,0,1
126,2009,1796.0,178.0,5.0,9.35,0,0,0,1,0
127,2013,998.0,58.16,5.0,3.25,0,0,0,0,1
128,2007,2354.0,152.0,5.0,5.25,0,0,0,1,1
129,2015,1498.0,103.2,5.0,7.25,1,0,0,0,0
130,2017,1373.0,91.1,5.0,7.47,0,0,0,1,1
131,2016,2179.0,140.0,7.0,13.25,1,0,0,0,0
132,2016,1197.0,85.8,5.0,5.81,0,0,0,1,1
133,2014,998.0,67.1,5.0,2.6,0,0,0,1,1
134,2017,2996.0,362.07,2.0,54.0,0,0,0,1,0
135,2019,1591.0,121.3,5.0,11.5,0,0,0,1,0
136,2010,796.0,46.3,5.0,1.6,0,0,0,1,1
137,2015,1995.0,143.0,5.0,17.22,1,0,0,0,0
138,2015,1199.0,88.7,5.0,6.0,0,0,0,1,0
139,2012,1799.0,130.0,5.0,3.95,0,0,0,1,1
140,2014,2143.0,170.0,5.0,17.95,1,0,0,0,0
141,2014,1498.0,98.6,5.0,3.7,1,0,0,0,1
142,2016,1197.0,81.8,5.0,5.43,0,0,0,1,1
144,2012,2982.0,171.0,7.0,13.49,1,0,0,0,1
145,2014,1199.0,76.8,5.0,2.85,0,0,0,1,1
146,2013,1498.0,103.52,5.0,4.75,1,0,0,0,1
147,2018,1373.0,91.1,5.0,9.9,0,0,0,1,1
148,2013,2894.0,444.0,4.0,37.0,0,0,0,1,0
149,2014,1995.0,190.0,5.0,26.5,1,0,0,0,0
150,2015,1968.0,174.33,5.0,23.32,1,0,0,0,0
151,2016,1248.0,74.0,5.0,6.25,1,0,0,0,1
152,2010,5461.0,362.9,5.0,30.0,0,0,0,1,0
153,2016,1498.0,103.52,5.0,9.86,1,0,0,0,0
154,2012,1968.0,138.1,5.0,8.5,1,0,0,0,0
155,2019,814.0,55.2,5.0,4.23,0,0,0,1,1
156,2012,1199.0,73.9,5.0,3.5,1,0,0,0,1
157,2016,1198.0,67.06,5.0,2.5,0,0,0,1,1
158,2013,1198.0,86.8,5.0,2.39,0,0,0,1,1
159,2013,1595.0,120.7,5.0,11.25,0,0,0,1,0
160,2015,1498.0,98.6,5.0,7.11,1,0,0,0,1
161,2016,2494.0,100.6,7.0,10.9,1,0,0,0,1
162,2017,1197.0,81.8,5.0,6.2,0,0,0,1,1
163,2012,2179.0,140.0,7.0,7.9,1,0,0,0,1
164,2014,1498.0,89.84,5.0,4.42,1,0,0,0,1
165,2012,2982.0,168.5,7.0,13.5,1,0,0,0,1
166,2013,1498.0,108.5,5.0,6.25,1,0,0,0,0
167,2010,1399.0,68.0,5.0,2.1,1,0,0,0,1
168,2015,2993.0,258.0,5.0,45.0,1,0,0,0,0
169,2017,2143.0,167.62,5.0,33.66,1,0,0,0,0
170,2012,1198.0,86.8,5.0,3.65,0,0,0,1,1
171,2013,1197.0,78.9,5.0,2.75,0,0,0,1,1
172,2016,2143.0,170.0,5.0,42.5,1,0,0,0,0
173,2019,1197.0,81.86,5.0,6.5,0,0,0,1,1
174,2012,1968.0,174.33,5.0,19.0,1,0,0,0,0
175,2013,1598.0,103.6,5.0,4.45,0,0,0,1,0
176,2017,1998.0,112.0,5.0,23.0,1,0,0,0,0
177,2014,1396.0,88.73,5.0,8.35,1,0,0,0,1
178,2014,1968.0,174.33,5.0,22.95,1,0,0,0,0
179,2012,936.0,57.6,5.0,1.5,1,0,0,0,1
180,2012,1798.0,157.75,5.0,6.89,0,0,0,1,0
181,2006,1399.0,68.0,5.0,1.45,1,0,0,0,1
182,2014,1995.0,190.0,5.0,33.5,1,0,0,0,0
183,2007,1598.0,102.5,5.0,1.25,0,0,0,1,1
184,2012,1199.0,73.9,5.0,4.2,1,0,0,0,1
185,2015,1461.0,108.5,8.0,6.75,1,0,0,0,1
186,2014,2143.0,201.1,5.0,32.0,1,0,0,0,0
187,2017,1197.0,83.1,5.0,7.5,0,0,0,1,1
188,2012,1582.0,126.32,5.0,4.6,1,0,0,0,1
189,2017,1086.0,68.05,5.0,4.04,0,0,0,1,1
190,2016,1997.0,120.0,7.0,10.31,1,0,0,0,1
191,2018,2179.0,187.7,5.0,55.76,1,0,0,0,0
192,2010,1399.0,68.0,5.0,2.6,1,0,0,0,1
193,2016,1248.0,88.5,7.0,8.5,1,0,0,0,1
195,2014,1498.0,98.6,5.0,3.5,1,0,0,0,1
196,2015,1197.0,78.9,5.0,3.55,0,0,0,1,1
197,2013,1498.0,98.6,5.0,3.25,1,0,0,0,1
198,2008,1896.0,106.0,5.0,4.5,1,0,0,0,1
199,2014,1461.0,83.8,5.0,5.35,1,0,0,0,1
200,2017,1493.0,100.0,7.0,6.5,1,0,0,0,1
201,2016,1248.0,88.5,5.0,9.0,1,0,0,0,1
202,2016,1197.0,81.83,5.0,6.0,0,0,0,1,1
203,2009,1390.0,85.0,5.0,2.75,0,0,0,1,1
204,2010,1193.0,64.1,5.0,1.5,0,0,0,1,1
205,2015,1968.0,174.33,5.0,19.9,1,0,0,0,0
206,2014,1798.0,177.5,5.0,10.0,0,0,0,1,0
207,2014,1364.0,67.06,5.0,3.0,1,0,0,0,1
209,2014,1595.0,120.7,5.0,11.96,0,0,0,1,0
210,2013,1498.0,98.6,5.0,3.25,1,0,0,0,1
211,2012,1582.0,126.32,5.0,4.75,1,0,0,0,1
212,2014,1461.0,83.8,5.0,5.95,1,0,0,0,1
213,2015,1591.0,121.3,5.0,8.15,0,0,0,1,1
214,2016,998.0,67.0,5.0,4.22,0,0,0,1,0
215,2010,1796.0,186.0,5.0,10.5,0,0,0,1,0
216,2012,2967.0,246.7,5.0,45.0,1,0,0,0,0
217,2012,1086.0,68.05,5.0,2.9,0,0,0,1,1
218,2017,1598.0,103.52,5.0,8.9,0,0,0,1,0
219,2017,1798.0,177.46,5.0,26.0,0,0,0,1,0
220,2018,1197.0,81.86,5.0,8.22,0,0,0,1,1
221,2014,1498.0,98.6,5.0,3.5,1,0,0,0,1
222,2004,998.0,67.1,5.0,1.25,0,0,0,1,1
223,2013,1461.0,65.0,5.0,3.7,1,0,0,0,1
224,2018,2143.0,167.62,5.0,39.41,1,0,0,0,0
225,2013,998.0,67.04,5.0,2.65,0,0,0,1,1
226,2015,1461.0,108.5,5.0,8.92,1,0,0,0,1
228,2017,1998.0,189.08,4.0,35.67,0,0,0,1,0
230,2007,1396.0,53.5,5.0,0.85,1,0,0,0,1
231,2016,1199.0,76.8,5.0,3.32,0,0,0,1,1
232,2012,1199.0,73.9,5.0,3.6,1,0,0,0,1
233,2016,1248.0,74.0,5.0,6.8,1,0,0,0,1
234,2012,1399.0,68.05,5.0,2.5,1,0,0,0,1
235,2019,2755.0,171.5,7.0,19.64,1,0,0,0,0
236,2011,2199.0,194.3,7.0,7.0,1,0,0,0,0
237,2011,1497.0,117.3,5.0,3.87,0,0,0,1,1
238,2018,1197.0,81.83,5.0,6.27,0,0,0,1,1
239,2015,2143.0,167.62,5.0,18.12,1,0,0,0,0
240,2013,936.0,57.6,5.0,2.65,1,0,0,0,1
241,2015,1396.0,88.73,5.0,7.2,1,0,0,0,1
242,2015,2494.0,100.6,7.0,14.3,1,0,0,0,1
243,2013,1248.0,88.76,7.0,6.9,1,0,0,0,1
244,2014,2494.0,102.0,7.0,10.75,1,0,0,0,1
246,2016,1497.0,117.3,5.0,8.09,0,0,0,1,1
247,2014,1995.0,184.0,5.0,18.5,1,0,0,0,0
248,2017,1120.0,70.0,5.0,4.75,1,0,0,0,1
249,2016,1248.0,88.5,5.0,8.45,1,0,0,0,1
250,2012,1598.0,103.6,5.0,3.5,1,0,0,0,1
251,2006,1493.0,82.0,5.0,1.8,1,0,0,0,1
252,2014,1498.0,103.6,5.0,3.7,1,0,0,0,1
253,2017,1199.0,88.7,5.0,7.17,0,0,0,1,1
254,2010,1086.0,68.05,5.0,1.75,0,0,0,1,1
255,2018,1995.0,183.0,5.0,21.99,1,0,0,0,0
256,2017,2393.0,147.8,7.0,18.65,1,0,0,0,1
257,2011,796.0,35.0,5.0,1.85,0,0,0,1,1
258,2017,1197.0,81.8,5.0,5.95,0,0,0,1,1
259,2014,1197.0,82.0,5.0,3.75,0,0,0,1,1
260,2012,1248.0,74.0,5.0,3.75,1,0,0,0,1
261,2008,1582.0,126.2,5.0,2.6,1,0,0,0,1
263,2010,1197.0,80.0,5.0,2.8,0,0,0,1,1
264,2017,2987.0,254.79,5.0,61.29,1,0,0,0,0
265,2014,2148.0,170.0,5.0,18.0,1,0,0,0,1
266,2014,1248.0,73.94,5.0,4.35,1,0,0,0,1
267,2016,1582.0,126.2,5.0,13.75,1,0,0,0,1
268,2010,998.0,66.1,5.0,2.0,0,0,0,1,1
269,2016,1461.0,108.45,5.0,10.0,1,0,0,0,1
270,2010,1248.0,76.0,5.0,1.65,1,0,0,0,1
271,2017,2993.0,258.0,5.0,45.77,1,0,0,0,0
272,2010,1197.0,78.9,5.0,3.25,0,0,0,1,1
273,2016,2494.0,102.0,7.0,12.8,1,0,0,0,1
274,2002,993.0,60.0,5.0,0.55,0,0,0,1,1
275,2018,1248.0,74.0,5.0,7.15,1,0,0,0,1
276,2013,2179.0,120.0,8.0,7.0,1,0,0,0,1
277,2017,1248.0,74.0,5.0,3.75,1,0,0,0,1
278,2017,999.0,123.24,5.0,8.5,0,0,0,1,1
279,2012,1248.0,74.0,5.0,4.35,1,0,0,0,1
280,2016,796.0,47.3,5.0,3.26,0,0,0,1,1
281,2011,1497.0,118.0,5.0,4.21,0,0,0,1,1
282,2018,2967.0,241.4,7.0,70.36,1,0,0,0,0
283,2009,1896.0,105.0,5.0,2.95,1,0,0,0,0
284,2012,1591.0,121.3,5.0,4.28,0,0,0,1,1
285,2009,1497.0,118.0,5.0,3.57,0,0,0,1,0
286,2013,1396.0,88.8,5.0,3.11,1,0,0,0,1
287,2014,1396.0,98.6,5.0,5.96,0,0,0,1,0
288,2011,1598.0,103.6,5.0,4.7,1,0,0,0,1
289,2014,1497.0,117.3,5.0,6.9,0,0,0,1,1
290,2018,1248.0,74.0,5.0,5.25,1,0,0,0,1
291,2015,1995.0,177.0,5.0,28.0,1,0,0,0,0
292,2009,1061.0,67.0,5.0,1.35,0,0,0,1,1
293,2015,1199.0,88.7,5.0,4.85,0,0,0,1,1
294,2012,1896.0,105.0,5.0,6.7,1,0,0,0,1
295,2010,1197.0,78.9,5.0,3.1,0,0,0,1,1
296,2015,2143.0,170.0,5.0,18.64,1,0,0,0,0
297,2012,1197.0,78.9,5.0,2.8,0,0,0,1,1
298,2016,2393.0,147.8,7.0,20.25,1,0,0,0,1
299,2015,1968.0,174.33,5.0,26.78,1,0,0,0,0
300,2010,2494.0,100.6,7.0,8.26,1,0,0,0,1
301,2015,1198.0,73.9,5.0,3.89,0,0,0,1,1
302,2011,998.0,67.1,5.0,2.1,0,0,0,1,1
303,2017,1497.0,117.3,5.0,12.69,0,0,0,1,0
304,2013,1405.0,70.0,5.0,2.58,1,0,0,0,1
305,2014,1968.0,174.33,5.0,20.77,1,0,0,0,0
306,2015,2143.0,136.0,5.0,20.26,1,0,0,0,0
309,2014,998.0,67.04,5.0,4.25,0,0,0,1,0
310,2017,2143.0,201.15,5.0,57.0,1,0,0,0,0
311,2017,2179.0,187.7,5.0,44.0,1,0,0,0,0
312,2011,1598.0,103.6,5.0,3.65,1,0,0,0,1
313,2012,796.0,35.0,5.0,2.05,0,0,0,1,1
314,2012,1198.0,86.8,5.0,3.13,0,0,0,1,1
315,2000,2956.0,83.1,7.0,1.5,1,0,0,0,1
316,2012,1248.0,75.0,5.0,2.85,1,0,0,0,1
317,2012,998.0,67.1,5.0,2.65,0,0,0,1,1
318,2015,2179.0,140.0,7.0,10.6,1,0,0,0,1
319,2008,1396.0,70.0,5.0,1.25,1,0,0,0,1
320,2018,1373.0,93.7,7.0,8.25,0,0,0,1,1
321,2011,2354.0,177.6,5.0,4.45,0,0,0,1,0
322,2012,1248.0,73.9,5.0,3.7,1,0,0,0,1
323,2009,1399.0,68.0,5.0,2.8,1,0,0,0,1
324,2008,1497.0,78.0,5.0,1.8,0,0,0,1,1
325,2014,1968.0,174.33,5.0,21.95,1,0,0,0,0
326,2011,2993.0,313.0,4.0,49.0,1,0,0,0,0
327,2017,2967.0,245.0,7.0,62.67,1,0,0,0,0
328,2008,998.0,67.1,5.0,1.4,0,0,0,0,1
329,2012,1396.0,90.0,5.0,5.5,1,0,0,0,1
330,2009,1197.0,78.9,5.0,2.95,0,0,0,1,0
331,2016,1199.0,88.7,5.0,6.86,0,0,0,1,0
332,2015,1248.0,74.0,5.0,6.15,1,0,0,0,1
333,2011,1197.0,82.85,5.0,3.3,0,0,0,1,1
334,2011,1198.0,73.9,5.0,2.55,0,0,0,1,1
335,2009,796.0,46.3,5.0,1.5,0,0,0,1,1
336,2004,1794.0,125.0,5.0,2.5,0,0,0,1,0
337,2006,796.0,46.3,5.0,1.4,0,0,0,1,1
338,2012,1248.0,88.8,5.0,3.4,1,0,0,0,1
339,2012,796.0,46.3,5.0,2.25,0,0,0,1,1
340,2013,1968.0,141.0,5.0,7.5,1,0,0,0,0
341,2008,1794.0,125.0,5.0,2.8,0,0,0,1,0
342,2016,1197.0,81.83,5.0,7.66,0,0,0,1,1
343,2016,1248.0,88.5,5.0,7.15,1,0,0,0,1
344,2010,1497.0,118.0,5.0,3.5,0,0,0,1,1
345,2014,1248.0,75.0,5.0,3.5,1,0,0,0,1
346,2013,1498.0,98.6,5.0,3.45,1,0,0,0,1
347,2016,814.0,55.2,5.0,3.55,0,0,0,1,1
348,2015,1995.0,190.0,5.0,25.99,1,0,0,0,0
349,2012,1582.0,126.32,5.0,5.25,1,0,0,0,1
350,2013,1248.0,88.8,5.0,2.9,1,0,0,0,1
351,2005,1984.0,227.0,5.0,2.05,0,0,0,1,0
352,2017,998.0,67.1,5.0,3.75,0,0,0,1,1
353,2014,1498.0,89.84,5.0,6.75,1,0,0,0,1
354,2011,995.0,62.0,5.0,0.95,0,0,0,1,1
355,2017,1999.0,177.0,5.0,52.0,1,0,0,0,0
356,2007,1997.0,141.1,5.0,3.91,0,0,0,1,1
357,2019,1798.0,177.46,5.0,27.3,0,0,0,1,0
358,2009,1197.0,78.9,5.0,2.7,0,0,0,1,1
359,2013,1248.0,74.0,5.0,3.5,1,0,0,0,1
360,2016,1197.0,83.14,5.0,6.2,0,0,0,1,0
361,2011,1461.0,63.1,5.0,2.75,1,0,0,0,1
362,2015,1248.0,74.0,5.0,3.25,1,0,0,0,1
363,2012,1399.0,67.0,5.0,3.25,1,0,0,0,1
364,2003,993.0,60.0,5.0,0.65,0,0,0,1,1
365,2017,1998.0,192.0,5.0,35.0,0,0,0,1,1
366,2014,1364.0,67.05,5.0,3.25,1,0,0,0,1
367,2018,796.0,47.3,5.0,2.9,0,0,0,1,1
368,2011,796.0,47.0,5.0,2.9,0,0,0,1,1
369,2009,2993.0,235.0,5.0,17.75,1,0,0,0,0
370,2015,2496.0,179.5,5.0,8.25,0,0,0,1,0
371,2015,1197.0,82.0,5.0,5.77,0,0,0,1,0
372,2017,1248.0,88.5,5.0,9.49,1,0,0,0,1
373,2008,2967.0,241.4,7.0,12.95,1,0,0,0,0
374,2015,2143.0,136.0,5.0,20.0,1,0,0,0,0
375,2007,796.0,37.0,4.0,1.0,0,0,0,1,1
376,2015,1461.0,83.8,5.0,7.1,1,0,0,0,1
377,2017,1364.0,87.2,5.0,16.5,1,0,0,0,1
378,2014,2148.0,170.0,5.0,26.0,1,0,0,0,1
379,2010,1248.0,73.9,5.0,3.2,1,0,0,0,1
380,2017,1497.0,117.3,7.0,9.48,0,0,0,1,0
381,2015,1120.0,71.0,5.0,4.0,1,0,0,0,1
382,2014,2143.0,203.0,5.0,26.5,1,0,0,0,0
383,2014,1595.0,120.7,5.0,11.77,0,0,0,1,0
384,2017,2143.0,204.0,5.0,37.0,1,0,0,0,0
385,2016,1497.0,117.3,5.0,8.75,0,0,0,1,1
387,2011,1497.0,118.0,5.0,3.75,0,0,0,1,1
388,2010,1599.0,103.2,5.0,2.5,0,0,0,1,1
389,2017,1999.0,246.74,5.0,34.5,0,0,0,1,0
390,2015,1198.0,86.7,5.0,4.65,0,0,0,1,1
391,2015,1598.0,122.0,4.0,32.0,0,0,0,1,0
392,2017,2987.0,282.0,5.0,62.81,1,0,0,0,0
393,2014,814.0,55.2,5.0,3.25,0,0,0,1,1
394,2014,998.0,67.04,5.0,3.1,0,0,0,1,1
395,2011,1248.0,73.9,5.0,3.91,1,0,0,0,1
396,2011,1995.0,181.0,5.0,11.0,1,0,0,0,0
397,2014,2179.0,138.03,5.0,3.5,1,0,0,0,1
398,2014,1968.0,143.0,5.0,16.5,1,0,0,0,0
399,2012,2179.0,187.7,5.0,30.0,1,0,0,0,0
400,2010,2987.0,224.0,7.0,28.0,1,0,0,0,0
401,2018,2477.0,175.56,7.0,28.0,1,0,0,0,0
402,2010,796.0,46.3,5.0,0.92,0,0,0,1,1
403,2013,1061.0,64.0,5.0,2.75,0,0,0,1,1
404,2017,2179.0,187.7,5.0,53.83,1,0,0,0,0
405,2011,1591.0,121.3,5.0,4.95,0,0,0,1,1
406,2013,2993.0,218.0,5.0,33.5,1,0,0,0,0
407,2013,2993.0,270.9,5.0,27.95,1,0,0,0,0
408,2010,1798.0,157.75,5.0,7.25,0,0,0,1,0
409,2017,1968.0,174.33,5.0,25.71,1,0,0,0,0
410,2014,2179.0,187.7,5.0,29.67,1,0,0,0,0
411,2013,2143.0,170.0,5.0,19.0,1,0,0,0,0
412,2017,2179.0,120.0,7.0,13.05,1,0,0,0,1
413,2015,1995.0,190.0,5.0,25.5,1,0,0,0,0
414,2017,1497.0,117.3,7.0,8.5,0,0,0,1,1
415,2010,2400.0,215.0,5.0,7.25,1,0,0,0,0
416,2005,1495.0,94.0,5.0,0.8,0,0,0,1,1
417,2017,1197.0,81.86,5.0,6.9,0,0,0,1,1
418,2018,2996.0,367.0,5.0,70.99,0,0,0,1,0
419,2015,814.0,55.2,5.0,2.25,0,0,0,1,1
420,2018,1197.0,81.86,5.0,5.5,0,0,0,1,1
421,2013,1493.0,100.0,5.0,4.35,0,0,0,1,1
422,2010,1198.0,73.9,5.0,2.25,0,0,0,1,1
423,2016,1798.0,187.74,5.0,24.5,0,0,0,1,0
425,2017,1591.0,121.3,5.0,12.03,0,0,0,1,1
426,2011,1796.0,186.0,5.0,8.5,0,0,0,1,0
427,2014,1998.0,189.08,4.0,28.5,0,0,0,1,0
429,2013,1364.0,67.04,5.0,5.75,1,0,0,0,1
430,2014,1198.0,86.8,5.0,3.2,0,0,0,1,1
431,2018,1197.0,83.1,5.0,9.89,0,0,0,1,0
432,2012,1968.0,138.1,5.0,6.58,1,0,0,0,0
433,2018,814.0,55.2,5.0,4.06,0,0,0,1,1
434,2019,1461.0,108.45,5.0,13.37,1,0,0,0,1
435,2011,2993.0,258.0,5.0,25.82,1,0,0,0,0
436,2016,796.0,47.3,5.0,3.74,0,0,0,1,1
437,2015,1984.0,150.0,5.0,22.0,1,0,0,0,0
438,2007,998.0,67.1,5.0,1.45,0,0,0,1,1
439,2008,1497.0,78.0,5.0,2.0,0,0,0,1,1
440,2017,1196.0,73.0,5.0,4.7,0,0,0,0,1
441,2014,1399.0,98.79,8.0,3.75,0,0,0,1,1
442,2016,2523.0,62.1,7.0,7.7,1,0,0,0,1
444,2014,814.0,55.2,5.0,2.6,0,0,0,1,1
445,2017,1591.0,121.3,5.0,13.77,0,0,0,1,0
446,2017,1598.0,103.5,5.0,7.1,0,0,0,1,1
447,2008,1799.0,130.0,5.0,2.65,0,0,0,1,0
448,2014,1248.0,74.0,5.0,2.5,1,0,0,0,1
449,2013,2179.0,140.0,7.0,7.53,1,0,0,0,1
450,2017,1197.0,81.83,5.0,7.98,0,0,0,1,1
